,price_usd,market_cap,volume_24h,volume_change_24h,pct_change_1h,pct_change_24h,pct_change_7d,pct_change_30d,pct_change_60d,pct_change_90d,signal_strength,overall_score,composite_score,change_momentum,momentum_acceleration,risk_adjusted_momentum,price_volatility,volatility_risk,liquidity_risk,concentration_risk,nvt_score,mvrv_score,scarcity_score,efficiency_score,momentum_consistency,inv_momentum_score,inv_value_score,inv_risk_score,inv_activity_score,inv_network_score,max_supply,circulating_supply,total_supply,annual_inflation,stock_to_flow,days_since_added
inv_momentum_score,0.15648387094836042,0.012908444440483863,-0.0515096580318454,-0.025450795060725322,-0.03205459917073465,0.20542433783903405,0.9956741776102537,0.1667728310523614,0.1666913370675697,0.15925289808684795,,0.9999999940953904,0.9999999940953904,-0.11569870057055247,-0.16744095915409452,-0.11569870057055247,0.9957165058404179,-0.22584821355648627,-0.21443707163730436,,-0.14268071357656817,,-0.04349708752226658,-0.21443707163730436,0.1890996560038383,1.0,-0.14276496969263164,-0.2247233193326115,-0.21441592874774595,-0.04352019918581457,-0.04426452910371101,-0.02476690038797812,-0.044264525912986935,-0.02670305145861345,-0.027582976350484307,-0.029233408202354545
inv_value_score,0.048888736841367124,0.037836931946203925,0.08330918649693023,0.03344038818634333,0.052976845458434355,-0.22541625155257514,-0.1689365058532466,0.040416309501137386,0.04020864461031426,0.05045368619735723,,-0.142666189741912,-0.142666189741912,0.1444133742760398,-0.04030091488106489,0.1444133742760398,-0.17369295747714988,0.1802543550353648,0.797997474119132,,0.9999999225613787,,0.04539932430107455,0.797997474119132,-0.12568140608148254,-0.14276496969263164,1.0,0.7964964033149857,0.7979740457903022,0.04540433779312711,0.067646135627574,0.030972905071650538,0.06764613322624635,0.03939980168309295,0.03114350964500523,-0.34340421929599724
inv_risk_score,0.06022378320009806,0.04378059576576592,0.12975124396952536,-0.047008391331962204,0.06733912355550581,-0.3516626741504384,-0.23593697957077586,0.04974970538081553,0.04949507998275986,0.06210848580330484,,-0.22462115354554354,-0.22462115354554354,0.1711011491983555,-0.04959022741834388,0.1711011491983555,-0.23899937265532634,0.28518703205354884,0.998281749040266,,0.7964739177601196,,-0.08470113525322856,0.998281749040266,-0.12066878284738355,-0.2247233193326115,0.7964964033149857,1.0,0.9982807036849669,-0.0848058190375624,0.08568014676202002,-0.04787451287985974,0.08568014518668143,0.05035867084346069,-0.05411991785597757,-0.40569285569356245
inv_activity_score,0.06812647181578771,0.03899837699780487,0.11624378078424348,-0.05668839541025834,0.07430267314553307,-0.3381467016766485,-0.2260367965918877,0.05638834077500305,0.05609810518406788,0.07039176623940348,,-0.21431348963100896,-0.21431348963100896,0.1295017021219288,-0.05623468154593022,0.1295017021219288,-0.22894322245829127,0.22853044080770898,0.999999978729487,,0.7979533643981433,,-0.09381642875292141,0.999999978729487,-0.12589632705971412,-0.21441592874774595,0.7979740457903022,0.9982807036849669,1.0,-0.09392748126009602,0.0943242413846089,-0.04851534703087796,0.09432424102723165,0.0549694208347432,-0.05881525561055644,-0.41456756736682215
inv_network_score,-0.02158224466521464,0.015489951400074432,-0.012861064337139126,0.44486429377023967,-0.023083967405821283,-0.05876802976463863,-0.04284165821390315,-0.018284389273063497,-0.018185626031101652,-0.02281200057720499,,-0.04351775231069194,-0.04351775231069194,-0.020352895055437015,0.018310646259279913,-0.020352895055437015,-0.04332844097850946,0.12435189373292493,-0.09383722658998933,,0.045392542652904135,,0.9999996370993195,-0.09383722658998933,-0.15216192187418737,-0.04352019918581457,0.04540433779312711,-0.0848058190375624,-0.09392748126009602,1.0,-0.03057935329056293,-0.01754176391108214,-0.0305793552482679,-0.017809428301116405,0.8850904228637404,0.08739984083542483
max_supply,-0.02410977191432616,-0.033645914503455956,-0.03798550934183098,-0.02001423957439887,-0.01256582652851148,-0.00973957750368842,-0.044272351224118336,-0.01994478511316951,-0.01980812595979858,-0.024855270658120925,,-0.044256085303250293,-0.044256085303250293,-0.023528034101125042,0.019973175637402543,-0.023528034101125042,-0.04432543836641909,-0.11494432718752656,0.09432285554322709,,0.06764704609293881,,-0.030563015428623764,0.09432285554322709,-0.027475926916410456,-0.04426452910371101,0.067646135627574,0.08568014676202002,0.0943242413846089,-0.03057935329056293,1.0,-0.01854483978908541,0.9999999999999893,-0.01942756935588414,-0.019280395514650016,-0.11014109590143249
circulating_supply,-0.013830560029577728,0.0020935526213134103,-0.023020413595980865,-0.01204250288217088,-0.019532305669001025,-0.05118736338287974,-0.02410619899368175,-0.011435499641994043,-0.01137879922223724,-0.014273388263119892,,-0.024769881802394405,-0.024769881802394405,-0.12282392462239723,0.011449669487100326,-0.12282392462239723,-0.024470825376951406,-0.004916283882726766,-0.0484905456107332,,0.03098566617121782,,-0.01753239196709437,-0.0484905456107332,0.07339963615016219,-0.02476690038797812,0.030972905071650538,-0.04787451287985974,-0.04851534703087796,-0.01754176391108214,-0.01854483978908541,1.0,-0.01854484101276966,-0.011144584257208882,-0.011161781159584003,-0.058880257532325606
total_supply,-0.024109773461492266,-0.033645914777783115,-0.037985511280996906,-0.020014240988171866,-0.01256582619753232,-0.00973956980497215,-0.04427234720021358,-0.019944786389205008,-0.019808127229202468,-0.024855272250941238,,-0.0442560821126249,-0.0442560821126249,-0.023528052189063026,0.019973176910719277,-0.023528052189063026,-0.04432543413791337,-0.11494434703333536,0.09432285518564765,,0.06764704369152104,,-0.030563017385281492,0.09432285518564765,-0.027475955386831542,-0.044264525912986935,0.06764613322624635,0.08568014518668143,0.09432424102723165,-0.0305793552482679,0.9999999999999893,-0.01854484101276966,1.0,-0.01942743013609834,-0.019280396763980665,-0.11014109854513929
annual_inflation,-0.014041581168820247,-0.019602679215075188,-0.023394797640399062,-0.011811329387940746,-0.001255256631926911,0.024811186969478816,-0.0271995972122989,-0.011616350239985999,-0.011553614091416132,-0.014492753333848753,,-0.026698149529567426,-0.026698149529567426,-0.09426391649813613,0.011634683498056205,-0.09426391649813613,-0.025862604779236773,-0.060154492233482494,0.0549686050074586,,0.039400327767354415,,-0.01779991312343576,0.0549686050074586,-0.19589720177230546,-0.02670305145861345,0.03939980168309295,0.05035867084346069,0.0549694208347432,-0.017809428301116405,-0.01942756935588414,-0.011144584257208882,-0.01942743013609834,1.0,-0.011332087529226771,-0.050888572799455425
stock_to_flow,-0.013583950017348622,0.009573363113525779,-0.023046344636426068,0.01064189446513876,-0.015101501332888024,-0.034938527709289145,-0.027188801613094223,-0.011528338723318134,-0.011466060685347954,-0.014383002348303597,,-0.027579212999036803,-0.027579212999036803,-0.03562185435263024,0.011545073314066671,-0.03562185435263024,-0.02745223407415509,0.06060075943421487,-0.05874250809673091,,0.031201467364444867,,0.8851157532036891,-0.05874250809673091,-0.192303311984834,-0.027582976350484307,0.03114350964500523,-0.05411991785597757,-0.05881525561055644,0.8850904228637404,-0.019280395514650016,-0.011161781159584003,-0.019280396763980665,-0.011332087529226771,1.0,-0.018252352434287418
