coin_name,symbol,price_usd,market_cap,volume_24h,volume_change_24h,pct_change_1h,pct_change_24h,pct_change_7d,pct_change_30d,pct_change_60d,pct_change_90d,coin_type,platform,category,primary_signal,signal_strength,overall_score,composite_score,change_momentum,momentum_acceleration,risk_adjusted_momentum,price_volatility,volatility_risk,liquidity_risk,concentration_risk,nvt_score,mvrv_score,scarcity_score,efficiency_score,momentum_consistency,inv_momentum_score,inv_value_score,inv_risk_score,inv_activity_score,inv_network_score,date_added,last_updated,max_supply,circulating_supply,total_supply,annual_inflation,stock_to_flow,price_tier,momentum_category,risk_level,days_since_added,momentum_score,risk_score,investment_score,predicted_signal,potential_return
Doodipals,DOODI,0.00021052260300565768,194970.00087082744,571763.86916631,13.4691,-17.64039636,-20.37108782,577.76766757,601.59446762,641.86439171,460.80644985,crypto,Solana,Small,STRONG_BUY,100,1904.36,1904.36,0.99,-86.24262029547619,0.99,281.32,0.35,100.0,70,100.0,100,6.02,100.0,98.72,1854.92,25.0,8.84,15.0,0.6,2025-09-19 12:35:22+00:00,2026-02-11 04:48:34.568000+00:00,961099841.9,926123837.0,961099841.9,96.36,0.0,Micro,Neutral,Low Risk,144,49.14,44.75,56.29,BUY,-0.43
Synternet,SYNT,0.0004697099852538123,307855.70414183434,3636.26877533,-61.3965,-0.00714543,-8.97354002,663.48068526,-62.18078711,-89.33740977,-93.20062005,crypto,Ethereum,Small,STRONG_BUY,100,1838.65,1838.65,1.04,-71.8761735800476,1.04,314.91,0.32,100.0,70,98.84,100,6.02,100.0,98.6,1789.39,24.83,8.83,15.0,0.6,2024-07-04 12:57:25+00:00,2026-02-11 04:48:34.568000+00:00,2500000000.0,655416563.0,1178448500.0,26.22,0.0,Micro,Neutral,Low Risk,586,51.46,45.41,56.57,BUY,1.46
IRISnet,IRIS,0.004988334184161191,8146922.540476731,110644.73868437,0.8196,0.90088024,837.73885144,13.19753156,441.8216213,706.87897701,516.37880542,crypto,Native,Small,STRONG_BUY,100,1772.53,1772.53,0.66,103.50414746771429,0.66,391.62,0.25,100.0,70,98.99,100,6.02,100.0,0.0,1723.25,24.85,8.83,15.0,0.6,2019-04-18 00:00:00+00:00,2026-02-11 04:48:34.568000+00:00,0.0,1633195018.5584188,2144419257.1080406,31.3,0.02,Low,Bearish,Low Risk,2491,32.45,46.92,51.39,HOLD,-3.68
Book of Meme 3.0,BOME,7.521341474014107e-09,0.0,165039.49172925,-6.4161,94.93009703,707.48063342,88.02220569,181.87297762,-98.25568584,-99.46250407,meme,Ethereum,Small,STRONG_BUY,100,1558.99,1558.99,0.95,85.36570203995238,0.95,290.4,0.34,100.0,70,100.0,100,6.02,100.0,0.0,1509.56,25.0,8.83,15.0,0.6,2024-10-09 05:31:05+00:00,2026-02-11 04:48:34.568000+00:00,4.2e+17,0.0,4.2e+17,0.0,1.0,Micro,Neutral,Low Risk,489,35.95,44.93,51.92,HOLD,-1.05
Friend.tech,FRIEND,0.050687758282299704,0.0,13699.63190741,25.7844,29.25053895,716.89945808,-1.42997362,9.53738174,66.49962617,-64.05050102,meme,Base,Small,STRONG_BUY,100,1522.63,1522.63,0.66,102.25291173085716,0.66,331.63,0.3,100.0,70,100.0,100,6.02,100.0,0.0,1473.2,25.0,8.83,15.0,0.6,2024-05-03 09:13:58+00:00,2026-02-11 04:48:34.568000+00:00,0.0,0.0,14598835.1,1459883510.0,0.0,Low,Bearish,Low Risk,648,32.32,45.74,50.79,HOLD,-5.72
Splendor,SPLD,2.483026032196007,0.0,1016488.68449201,14.3789,-1.23377117,34.50756697,413.37356378,747.48744886,754.54029214,789.59734995,crypto,Native,Small,STRONG_BUY,100,1505.74,1505.74,1.16,-65.26084333266665,1.16,187.59,0.53,100.0,70,100.0,100,6.02,100.0,99.69,1456.28,25.0,8.85,15.0,0.6,2025-10-28 04:42:17+00:00,2026-02-11 04:48:34.568000+00:00,26000000000.0,0.0,26000000000.0,0.0,1.0,Medium,Neutral,Low Risk,106,54.65,42.94,56.74,BUY,9.97
KIRA,KEX,0.0032749133763906404,673211.0579360108,0.0,-100.0,0.0,-14.47398588,555.8745855,-55.12259806,-53.90099811,-67.98709068,crypto,Native,Small,BUY,100,1503.22,1503.22,1.03,-61.11179455466666,1.03,265.52,0.38,0.0,70,0.0,100,6.02,0.0,98.41,1489.78,10.0,2.84,0.0,0.6,2020-09-07 00:00:00+00:00,2026-02-11 04:48:34.568000+00:00,300000000.0,205566065.591015,300000000.0,68.52,0.0,Low,Neutral,Low Risk,1983,52.29,19.44,39.67,HOLD,1.38
[Fake]COINBASE,COIN,35.63476468475439,0.0,410270.55035909,20.68,-4.78757459,250.96438123,273.87375757,83.10919147,144.9839289,-27.36047289,meme,Base,Small,STRONG_BUY,100,1475.7,1475.7,1.67,3.0860508214285693,1.67,126.31,0.79,100.0,70,100.0,100,6.02,100.0,68.45,1426.22,25.0,8.88,15.0,0.6,2025-06-06 09:45:24+00:00,2026-02-11 04:48:34.568000+00:00,270000000.0,0.0,270000000.0,0.0,1.0,Medium,Bullish,Low Risk,249,61.46,41.8,58.52,BUY,34.28
GoChain,GO,0.0006088416216206962,816989.5568007397,692.76296178,-51.4881,-0.1385597,465.73482175,227.41988083,-12.83577001,102.0590493,-70.43219743,crypto,Native,Small,STRONG_BUY,100,1424.17,1424.17,1.33,42.05351325466666,1.33,190.21,0.52,8.48,70,83.84,100,6.02,8.48,14.24,1396.36,22.58,3.36,1.27,0.6,2018-06-13 00:00:00+00:00,2026-02-11 04:48:34.568000+00:00,0.0,1341875338.0,1341875338.0,0.0,1.0,Micro,Bullish,Low Risk,2800,42.86,20.11,38.67,HOLD,2.91
LABUBU (labubu.farm),LABUBU,0.007540654842298532,0.0,74529.14986922,-42.9791,-12.67589609,369.19484683,279.69189333,1866.25563257,-46.28697855,90.26154936,meme,Base,Small,STRONG_BUY,100,1418.89,1418.89,1.52,-40.09932176038095,1.52,163.07,0.61,100.0,70,100.0,100,6.02,100.0,43.84,1369.43,25.0,8.86,15.0,0.6,2025-07-31 08:31:32+00:00,2026-02-11 04:48:34.568000+00:00,1000000000.0,0.0,1000000000.0,0.0,1.0,Low,Bullish,Low Risk,194,47.01,42.47,54.64,BUY,15.36
