coin_name,symbol,price_usd,market_cap,volume_24h,volume_change_24h,pct_change_1h,pct_change_24h,pct_change_7d,pct_change_30d,pct_change_60d,pct_change_90d,coin_type,platform,category,primary_signal,signal_strength,overall_score,composite_score,change_momentum,momentum_acceleration,risk_adjusted_momentum,price_volatility,volatility_risk,liquidity_risk,concentration_risk,nvt_score,mvrv_score,scarcity_score,efficiency_score,momentum_consistency,inv_momentum_score,inv_value_score,inv_risk_score,inv_activity_score,inv_network_score,date_added,last_updated,max_supply,circulating_supply,total_supply,annual_inflation,stock_to_flow,price_tier,momentum_category,risk_level,days_since_added,momentum_score,risk_score,investment_score,predicted_signal,potential_return
Splendor,SPLD,2.483026032196007,0.0,1016488.68449201,14.3789,-1.23377117,34.50756697,413.37356378,747.48744886,754.54029214,789.59734995,crypto,Native,Small,STRONG_BUY,100,1505.74,1505.74,1.16,-65.26084333266665,1.16,187.59,0.53,100.0,70,100.0,100,6.02,100.0,99.69,1456.28,25.0,8.85,15.0,0.6,2025-10-28 04:42:17+00:00,2026-02-11 04:48:34.568000+00:00,26000000000.0,0.0,26000000000.0,0.0,1.0,Medium,Neutral,Low Risk,106,54.65,42.94,56.74,BUY,9.97
Synternet,SYNT,0.0004697099852538123,307855.70414183434,3636.26877533,-61.3965,-0.00714543,-8.97354002,663.48068526,-62.18078711,-89.33740977,-93.20062005,crypto,Ethereum,Small,STRONG_BUY,100,1838.65,1838.65,1.04,-71.8761735800476,1.04,314.91,0.32,100.0,70,98.84,100,6.02,100.0,98.6,1789.39,24.83,8.83,15.0,0.6,2024-07-04 12:57:25+00:00,2026-02-11 04:48:34.568000+00:00,2500000000.0,655416563.0,1178448500.0,26.22,0.0,Micro,Neutral,Low Risk,586,51.46,45.41,56.57,BUY,1.46
Elevate,ELEVATE,0.009285901496413097,0.0,682188.76307543,287.6434,0.02423488,47.98305761,66.11121121,-86.16508453,-81.4418785,-80.63032354,crypto,Ethereum,Small,STRONG_BUY,100,395.26,395.26,1.7,2.4861402960952392,1.7,27.88,3.46,100.0,70,100.0,100,6.02,100.0,81.25,345.51,25.0,9.15,15.0,0.6,2025-11-11 22:00:00+00:00,2026-02-11 04:48:34.568000+00:00,50000000000.0,0.0,25513700090.99944,0.0,1.0,Low,Bullish,High Risk,91,65.79,40.77,56.52,BUY,53.7
pippin,PIPPIN,0.4025515926700921,402550084.3092744,62455877.57522652,34.8074,2.35167064,28.17586044,123.27373943,7.65657907,23.98339841,1094.33568483,meme,Solana,Small,STRONG_BUY,100,543.44,543.44,1.36,-9.731505938952381,1.36,52.0,1.89,100.0,70,99.91,100,6.02,100.0,99.88,493.86,24.99,8.99,15.0,0.6,2025-01-06 15:45:53+00:00,2026-02-11 04:48:34.568000+00:00,0.0,999996253.0,999996253.0,0.0,1.0,Low,Bullish,Medium Risk,400,63.92,40.7,56.51,BUY,32.22
Nelore Coin,NLC,0.000717065378896269,0.0,92821.98207409,-1.2723,-0.58891424,44.5747908,196.68139532,195.14846669,36.71373231,-24.66828902,crypto,BNB Smart Chain (BEP20),Small,STRONG_BUY,100,679.85,679.85,1.32,-21.678417310428575,1.32,84.39,1.17,100.0,70,100.0,100,6.02,100.0,99.79,630.33,25.0,8.92,15.0,0.6,2022-06-30 09:28:43+00:00,2026-02-11 04:48:34.568000+00:00,1000000000.0,0.0,1000000000.0,0.0,1.0,Micro,Bullish,Medium Risk,1321,61.97,41.1,56.37,BUY,26.54
Radx AI,RADX,1.4291708678512335e-06,0.0,106909.76987715,10.1801,0.03241922,24.09402737,83.45298782,-24.34758733,-9.02316719,-22.43820256,crypto,Solana,Small,STRONG_BUY,100,401.46,401.46,1.4,-4.886498987857143,1.4,35.06,2.77,100.0,70,100.0,100,6.02,100.0,99.18,351.78,25.0,9.08,15.0,0.6,2024-05-23 08:12:47+00:00,2026-02-11 04:48:34.568000+00:00,6250000000.0,0.0,6247861691.0,0.0,1.0,Micro,Bullish,Medium Risk,628,64.93,40.67,56.34,BUY,36.89
Doodipals,DOODI,0.00021052260300565768,194970.00087082744,571763.86916631,13.4691,-17.64039636,-20.37108782,577.76766757,601.59446762,641.86439171,460.80644985,crypto,Solana,Small,STRONG_BUY,100,1904.36,1904.36,0.99,-86.24262029547619,0.99,281.32,0.35,100.0,70,100.0,100,6.02,100.0,98.72,1854.92,25.0,8.84,15.0,0.6,2025-09-19 12:35:22+00:00,2026-02-11 04:48:34.568000+00:00,961099841.9,926123837.0,961099841.9,96.36,0.0,Micro,Neutral,Low Risk,144,49.14,44.75,56.29,BUY,-0.43
Hachiko Inu,HACHIKO,0.001126973263513089,0.0,235388.06078716,295.1374,2.21058694,30.29730961,82.94023713,712.88267448,1326.54156819,1326.54156819,meme,BNB Smart Chain (BEP20),Small,STRONG_BUY,100,416.47,416.47,1.52,-28.518499462142856,1.52,33.46,2.9,100.0,70,100.0,100,6.02,100.0,98.13,366.78,25.0,9.09,15.0,0.6,2025-12-25 07:27:21+00:00,2026-02-11 04:48:34.568000+00:00,1000000000.0,0.0,959543567.0,0.0,1.0,Low,Bullish,Medium Risk,47,64.45,40.68,56.26,BUY,47.61
Changex,CHANGE,0.0007685228403038924,0.0,11167.50521712,57.9443,-0.12875151,148.00897175,138.93880522,-44.25482112,-44.3589496,-44.70383578,crypto,Ethereum,Small,STRONG_BUY,100,833.07,833.07,1.68,7.402192287047618,1.68,67.8,1.45,100.0,70,100.0,100,6.02,100.0,58.52,783.53,25.0,8.95,15.0,0.6,2022-07-21 10:13:49+00:00,2026-02-11 04:48:34.568000+00:00,425000000.0,0.0,399834838.425489,0.0,1.0,Micro,Bullish,Medium Risk,1300,59.09,40.86,56.14,BUY,34.4
Huobi Token,HT,0.22967953661880128,0.0,142923.76423833,852.9641,-2.28289083,26.61130306,126.78670424,9.77557831,32.51738837,-17.39367616,crypto,Ethereum,Small,STRONG_BUY,100,544.09,544.09,1.28,-10.410400732809524,1.28,55.31,1.78,100.0,70,100.0,100,6.02,100.0,99.83,494.51,25.0,8.98,15.0,0.6,2018-02-03 00:00:00+00:00,2026-02-11 04:48:34.568000+00:00,500000000.0,0.0,203980445.0,0.0,1.0,Low,Bullish,Medium Risk,2930,62.37,40.73,56.12,BUY,24.86
CryptoBlades Kingdoms,KING,6.79054460120215e-05,0.0,31050.47781838,284.8233,0.00931507,144.44783418,136.76154235,2.29174083,11.40738984,67.35160573,crypto,BNB Smart Chain (BEP20),Small,STRONG_BUY,100,818.97,818.97,1.68,5.5803684073333315,1.68,66.35,1.48,100.0,70,100.0,100,6.02,100.0,59.11,769.42,25.0,8.95,15.0,0.6,2021-10-02 19:13:10+00:00,2026-02-11 04:48:34.568000+00:00,1000000000.0,0.0,1000000000.0,0.0,1.0,Micro,Bullish,Medium Risk,1592,59.09,40.84,56.1,BUY,34.86
3space Art,PACE,0.008686636578353482,626927.6931265248,9118.21956345,-5.3592,-0.31674808,25.80499513,191.39876421,49.27210743,216.29070776,19.38846227,crypto,Ethereum,Small,STRONG_BUY,100,634.08,634.08,1.22,-18.918697499714284,1.22,84.89,1.16,100.0,70,99.06,100,6.02,100.0,99.95,584.71,24.86,8.92,15.0,0.6,2022-03-07 02:50:16+00:00,2026-02-11 04:48:34.568000+00:00,100000000.0,72171511.66295902,100000000.0,72.17,0.01,Low,Bullish,Medium Risk,1437,60.46,41.1,55.85,BUY,18.26
Port3 Network,PORT3,0.0016967734926612232,1175677.4615151647,2816903.7765466,54.9436,-2.0411052,13.07358693,197.92011157,-15.52208173,-37.43622341,-95.67836547,crypto,BNB Smart Chain (BEP20),Small,STRONG_BUY,100,749.74,749.74,1.13,-19.29190660047619,1.13,90.91,1.09,100.0,70,99.99,100,6.02,100.0,99.61,700.23,25.0,8.91,15.0,0.6,2024-01-15 01:19:42+00:00,2026-02-11 04:48:34.568000+00:00,1000000000.0,692890044.9,1000000000.0,69.29,0.0,Low,Neutral,Medium Risk,758,58.67,41.2,55.74,BUY,10.59
Rifampicin,RIF,0.026216359045384094,26196600.8938846,891661.96463257,62.7311,1.59404679,20.54466909,93.95523527,685.14940224,1100.07705711,187.1174464,crypto,Solana,Small,STRONG_BUY,100,430.41,430.41,1.34,-30.193695972333334,1.34,39.83,2.45,100.0,70,99.6,100,6.02,100.0,99.92,380.82,24.94,9.04,15.0,0.6,2024-11-20 04:16:52+00:00,2026-02-11 04:48:34.568000+00:00,1000000000.0,999246342.657068,999246342.657068,99.92,0.03,Low,Bullish,Medium Risk,448,61.52,40.65,55.57,BUY,31.27
WLF PROJECT,WLF,0.0005067494557861931,0.0,51178.50392414,9.9012,-5.04740039,47.85143858,67.47871319,149.96171095,-22.16481382,-60.68238623,crypto,Ethereum,Small,STRONG_BUY,100,389.78,389.78,1.54,-5.553329631523809,1.54,30.63,3.16,100.0,70,100.0,100,6.02,100.0,81.02,340.07,25.0,9.12,15.0,0.6,2025-03-24 07:34:04+00:00,2026-02-11 04:48:34.568000+00:00,20000000000.0,0.0,2953516667.0,0.0,1.0,Micro,Bullish,High Risk,323,61.98,40.72,55.56,BUY,41.07
Grayscale,GRAYSCALE,1.3403424878108987e-06,0.0,256528.54102973,-16.3299,-10.09646797,312.68084531,238.11514313,181.64998308,121.87105317,-54.83755758,crypto,Base,Small,STRONG_BUY,100,1217.98,1217.98,1.53,12.534415170238095,1.53,137.98,0.72,100.0,70,100.0,100,6.02,100.0,44.16,1168.51,25.0,8.87,15.0,0.6,2025-07-14 10:23:22+00:00,2026-02-11 04:48:34.568000+00:00,1000000000000.0,0.0,1000000000000.0,0.0,1.0,Micro,Bullish,Low Risk,211,52.55,42.01,55.49,BUY,16.95
CRT AI Network,CRTAI,8.414666019113893e-05,29695.435647606828,11517.33719644,88.987,-0.12010122,67.41535261,69.18982366,23.19494656,9.84284678,5.45830105,crypto,BNB Smart Chain (BEP20),Small,STRONG_BUY,100,443.71,443.71,1.7,1.2796667057142852,1.7,32.26,3.01,100.0,70,99.96,100,6.02,100.0,64.59,394.01,24.99,9.1,15.0,0.6,2025-01-02 06:11:32+00:00,2026-02-11 04:48:34.568000+00:00,0.0,352900942.0,560000000.0,58.68,0.0,Micro,Bullish,High Risk,404,60.67,40.7,55.39,BUY,42.3
RZTO,RZTO,0.000230857460837512,0.0,89989.24455321,185.6631,-8.62304203,15.63058185,113.64711988,-61.02313505,-87.55124664,-89.967408,crypto,Solana,Small,STRONG_BUY,100,465.5,465.5,1.13,-8.180020744714287,1.13,52.86,1.86,100.0,70,100.0,100,6.02,100.0,99.95,415.91,25.0,8.99,15.0,0.6,2025-10-21 07:05:07+00:00,2026-02-11 04:48:34.568000+00:00,10000000000.0,0.0,10000000000.0,0.0,1.0,Micro,Neutral,Medium Risk,112,59.88,40.71,55.26,BUY,11.62
